delivery_type,phone_name,phone_price,seller_customer_rating,seller_followers,seller_name,seller_quality_score,seller_score,seller_shipping_speed,units_left,verified_ratings
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Global,iPhone 8 ,270310,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,2 units left,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,1
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,3 units left,0
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,2 units left,0
Jumia Global,iPhone 11 Pro,645057,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1650000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1650000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 ,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 12 ,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,2
Jumia Nigeria,IPhone 15 Pro,1650000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,1
Jumia Nigeria,IPhone12 Pro Max,890000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone 8 ,410000,,,Jumia,,100,,Not deliverable to LEKKI-AJAH (SANGOTEDO),1
Jumia Nigeria,IPhone 15 Pro,1750000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 8 ,257990,,,Jumia,,100,,Not deliverable to LEKKI-AJAH (SANGOTEDO),2
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1200000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,0
Jumia Nigeria,IPhone 11 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1750000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,880000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1200000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1750000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 12 ,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1180000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 12 Pro,760000,,159 ,Cryztal Accessories,Excellent,100,Excellent,4 units left,0
Jumia Nigeria,IPhone 13 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,0
Jumia Nigeria,IPhone 12 ,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 ,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,0
Jumia Nigeria,IPhone 12 ,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1200000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1180000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,1
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1230000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,2
Jumia Nigeria,IPhone 12 Pro Max,950000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone 11 Pro Max,765000,Poor,356 ,HIGH CLASS SOTRE,Excellent,66,Average,In stock,2
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,1
Jumia Nigeria,IPhone 11 Pro Max,765000,Poor,356 ,HIGH CLASS SOTRE,Excellent,66,Average,In stock,2
Jumia Nigeria,IPhone SE ,999999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 12 Pro Max,880000,Good,315 ,Don Chris Links,Excellent,86,Good,6 units left,0
Jumia Nigeria,IPhone 13 Pro Max,1180000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 ,1100999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 13 ,790000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Good,315 ,Don Chris Links,Excellent,86,Good,9 units left,1
Jumia Nigeria,"Apple IPad 10th Gen 10.9"" Wi-Fi ONLY 64GB - Pink",920700,Excellent,1084 ,UGOSAM,Excellent,86,Average,4 units left,0
Jumia Nigeria,IPhone 12 ,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
